# Session token usage log (TSV) — logged by .claude/hooks/log-session-usage.sh on each Stop event
# Fields: timestamp	user	session_id	model	input_tokens	output_tokens	cache_read_tokens	cache_write_tokens	msg_count
# Notes: Tokens are cumulative per session. Multiple entries per session indicate progressive snapshots.
1774128780	jacobwang	987c8cce-0bf0-4321-802f-91283e071e1d	claude-opus-4-6	985	49204	25339319	3127542	333
1774128807	jacobwang	987c8cce-0bf0-4321-802f-91283e071e1d	claude-opus-4-6	988	49735	25344829	3200891	334
1774128855	jacobwang	987c8cce-0bf0-4321-802f-91283e071e1d	claude-opus-4-6	1012	50328	25985144	3207877	342
1774128902	jacobwang	987c8cce-0bf0-4321-802f-91283e071e1d	claude-opus-4-6	1027	50931	26395567	3212365	347
1774129036	jacobwang	987c8cce-0bf0-4321-802f-91283e071e1d	claude-opus-4-6	1087	53012	28112177	3225515	367
1774129511	jacobwang	987c8cce-0bf0-4321-802f-91283e071e1d	claude-opus-4-6	1148	56362	30251702	3506066	392
1774152242	jacobwang	44b288c8-46b8-451e-90d0-49db92e37c1a	claude-opus-4-6	39	1170	49050	159216	13
1774152302	jacobwang	44b288c8-46b8-451e-90d0-49db92e37c1a	claude-opus-4-6	48	1582	98100	163362	16
1774152399	jacobwang	44b288c8-46b8-451e-90d0-49db92e37c1a	claude-opus-4-6	129	5845	742933	222300	43
1774152437	jacobwang	44b288c8-46b8-451e-90d0-49db92e37c1a	claude-opus-4-6	147	6672	855780	299815	49
1774152556	jacobwang	44b288c8-46b8-451e-90d0-49db92e37c1a	claude-opus-4-6	156	7456	947187	308719	52
1774152746	jacobwang	ses_2ec432714ffeWop416EeM3Idcz	gpt-5-nano	152203	19023	91136	0	6
1774152765	jacobwang	ses_2ec4343a1ffeCg1B2UVPZ5VHVG	gpt-5-nano	123217	21440	158976	0	6
1774152787	jacobwang	ses_2ec438a4cffe4FAs1BiW4hPzmO	anthropic.claude-opus-4-6-v1	14	10233	718391	188927	10
1774152829	jacobwang	ses_2ec421ae8ffeQ0MDp0XPEnmvkD	gpt-5-nano	147082	13621	332672	0	14
1774152947	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	25	14656	1489663	38007	21
1774152995	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	31	15545	1852468	39415	25
1774153012	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	36	16320	2128206	41286	28
1774153138	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	44	19426	2713808	54637	34
1774153188	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	52	20851	3367318	58575	40
1774153228	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	58	22185	3812918	60525	44
1774153252	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	61	22386	3925659	60560	45
1774153280	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	64	22976	4038435	60768	46
1774153318	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	69	23700	4379582	66343	49
1774153404	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	75	25837	4859048	70490	53
1774153455	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	78	26281	4981754	70615	54
1774153464	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	81	26287	5104585	71061	55
1774153542	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	95	31142	6384406	81567	65
1774153562	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	100	31610	6786107	82525	68
1774153630	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	109	33359	7738357	85770	75
1774153728	jacobwang	ses_2ec42705fffenSwEruxjgmiba1	anthropic.claude-opus-4-6-v1	126	39193	9954909	100474	90
1774154054	jacobwang	dbdcf144-4c51-417f-8f5f-41859390b50e	claude-opus-4-6	14705	2767	838907	305916	37
1774154080	jacobwang	dbdcf144-4c51-417f-8f5f-41859390b50e	claude-opus-4-6	14722	3177	1240544	309569	44
1774154143	jacobwang	dbdcf144-4c51-417f-8f5f-41859390b50e	claude-opus-4-6	14731	3502	1417091	310154	47
1774154227	jacobwang	dbdcf144-4c51-417f-8f5f-41859390b50e	claude-opus-4-6	14773	4701	2270051	321130	61
1774154752	jacobwang	eadb82d1-fede-47e3-a78f-180db0cea2f7	claude-opus-4-6	62	2135	319081	134552	22
1774154864	jacobwang	eadb82d1-fede-47e3-a78f-180db0cea2f7	claude-opus-4-6	128	5404	929922	273382	44
1774155015	jacobwang	eadb82d1-fede-47e3-a78f-180db0cea2f7	claude-opus-4-6	158	6709	1279658	353335	54
1774155076	jacobwang	eadb82d1-fede-47e3-a78f-180db0cea2f7	claude-opus-4-6	181	7932	1601180	486841	63
1774155381	jacobwang	eadb82d1-fede-47e3-a78f-180db0cea2f7	claude-opus-4-6	226	9877	2418689	497296	78
